Lon Lat Los(m) wt E N U
-117.647639 35.574306 0.027172 1.000000 -0.630465 -0.111978 0.768098
-117.647639 35.556528 -0.011354 1.000000 -0.630235 -0.111969 0.768288
-117.647639 35.538750 -0.033979 1.000000 -0.630020 -0.111962 0.768465
-117.629861 35.947639 0.022904 1.000000 -0.637361 -0.112412 0.762322
-117.629861 35.929861 0.003011 1.000000 -0.637079 -0.112394 0.762560
-117.629861 35.912083 -0.034180 1.000000 -0.636795 -0.112377 0.762800
-117.629861 35.894306 -0.092670 1.000000 -0.636505 -0.112358 0.763045
-117.629861 35.876528 -0.156368 1.000000 -0.636208 -0.112338 0.763295
-117.629861 35.858750 -0.244388 1.000000 -0.635918 -0.112318 0.763540
-117.629861 35.840972 -0.333317 1.000000 -0.635634 -0.112301 0.763779
-117.629861 35.823194 -0.354289 1.000000 -0.635351 -0.112283 0.764017
-117.629861 35.805417 0.386771 1.000000 -0.635077 -0.112266 0.764247
